customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
8018-VOGTZ,Male,0,Yes,Yes,11,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),92.17,1048.61,Yes
3671-XCJKK,Female,0,No,No,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,25.91,869.51,No
4539-YLBKN,Male,0,No,No,45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),23.72,1036.83,No
5820-ZTGVD,Female,1,Yes,No,61,No,No phone service,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Mailed check,77.03,4714.34,Yes
1086-RTVXJ,Female,0,Yes,Yes,10,No,No phone service,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,77.36,771.42,Yes
3555-BGCHW,Male,1,No,No,54,No,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Credit card (automatic),85.72,4557.03,No
3956-VOECE,Male,0,Yes,No,3,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),71.57,207.25,Yes
7263-PQSKP,Male,0,Yes,No,53,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,71.28,3872.5,No
3605-KIVGL,Male,0,No,No,70,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Two year,No,Credit card (automatic),70.53,4827.37,No
4775-YIZQU,Female,0,Yes,No,2,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,83.87,168.15,Yes
1797-KCXXQ,Male,0,Yes,Yes,3,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,69.14,200.87,Yes
1671-XKTXO,Male,0,Yes,Yes,38,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,No,Bank transfer (automatic),87.28,3471.67,No
4670-KXBTX,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),81.69,84.23,Yes
9976-ILMZI,Female,0,Yes,Yes,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),31.55,193.83,No
5539-MNHLW,Female,0,No,No,6,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Mailed check,81.1,483.78,Yes
7712-HARLR,Male,0,Yes,No,30,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,67.21,2096.81,No
8748-XVTOZ,Female,0,Yes,Yes,10,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,67.49,641.97,Yes
2657-NLDWF,Female,1,No,No,29,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,33.64,986.02,No
4742-OYTEG,Male,0,Yes,Yes,34,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,70.44,2368.0,Yes
6167-YDHIZ,Female,0,Yes,Yes,55,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),35.22,1847.52,No
8299-ANLXJ,Male,0,Yes,Yes,71,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,62.24,4301.89,No
6472-GYTMO,Male,1,No,No,32,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,96.54,2982.14,No
4331-CQBST,Female,0,Yes,No,18,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),96.3,1724.78,Yes
6099-LBJWI,Male,1,No,No,11,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),82.85,942.0,No
5223-ACKMV,Female,0,No,No,46,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,No,Mailed check,93.88,4212.77,No
4166-JSUEG,Male,1,Yes,No,71,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,One year,Yes,Mailed check,85.42,6149.02,No
2473-ZXEKK,Male,0,Yes,Yes,58,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),95.55,5386.98,No
6929-IJGDS,Female,0,No,No,7,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,117.0,795.39,Yes
4163-IFZQP,Female,0,No,Yes,70,No,No phone service,DSL,No,Yes,No,No,No,No,One year,Yes,Credit card (automatic),47.97,3241.89,No
6911-PGMME,Female,0,No,No,56,Yes,No,DSL,Yes,No,Yes,No,No,No,Two year,Yes,Electronic check,62.13,3477.32,No
5270-DSUCM,Male,0,Yes,Yes,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),32.2,95.55,Yes
8243-SEZHK,Female,0,Yes,No,54,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Electronic check,85.73,4474.36,No
8732-RJOXV,Female,0,No,No,13,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,88.83,1138.88,Yes
5883-ONMIW,Male,0,No,No,31,Yes,No,DSL,No,No,No,Yes,No,Yes,One year,No,Electronic check,64.05,1916.93,No
9679-LBWIM,Female,0,No,No,14,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Electronic check,64.29,889.67,No
7990-IWHKP,Female,0,Yes,No,2,Yes,Yes,DSL,No,No,Yes,No,Yes,No,One year,Yes,Mailed check,77.48,157.57,No
8214-CBVHH,Male,0,No,No,59,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,95.38,5852.5,No
7291-QFJAU,Male,0,Yes,Yes,64,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),73.15,4602.25,No
9301-FIAEG,Male,0,Yes,Yes,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),22.86,200.42,No
5824-AXRDT,Female,0,No,Yes,9,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,92.02,815.71,Yes
1978-FBOQP,Male,0,No,No,25,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),83.4,2062.1,No
5303-PLRKQ,Female,0,Yes,Yes,63,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,34.77,2183.51,No
8234-RPCBB,Male,0,No,No,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,36.23,71.65,Yes
8953-QRASV,Female,0,Yes,No,62,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),60.47,3908.44,No
2229-RLNTW,Male,0,Yes,No,70,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),100.78,6960.92,No
6621-OUTJI,Female,0,No,No,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),26.22,951.21,No
7582-LYLQU,Male,0,Yes,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,97.92,201.13,Yes
2990-WYFNH,Female,1,Yes,Yes,11,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),83.17,906.85,Yes
1814-XWJDG,Female,0,Yes,No,3,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),88.69,270.19,Yes
6039-WTMOL,Female,0,Yes,No,11,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,One year,No,Electronic check,77.49,861.19,No
1170-UMRZV,Male,1,Yes,Yes,63,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),27.84,1814.57,No
1063-RLLDK,Male,0,No,No,2,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,63.47,129.98,Yes
6462-ERCJK,Female,0,No,Yes,12,Yes,No,DSL,No,Yes,Yes,Yes,No,No,One year,Yes,Mailed check,65.6,764.58,No
8532-GYXCO,Male,1,Yes,No,34,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,57.03,2001.24,No
4621-OONUL,Male,0,No,No,68,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),100.36,6817.47,Yes
1318-IFTCH,Female,0,No,No,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,35.21,345.99,No
1818-HFJER,Male,0,No,No,60,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),79.99,4758.31,No
9793-UQPSI,Male,0,Yes,Yes,41,No,No phone service,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Electronic check,80.68,3458.61,No
1140-NOQLG,Female,1,Yes,No,50,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Mailed check,76.69,3664.5,No
3785-NDAWR,Male,0,No,No,67,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Mailed check,108.88,7611.42,No
5467-IQYAW,Male,0,Yes,Yes,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,38.24,39.94,Yes
8209-SABPL,Female,0,Yes,No,35,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,77.56,2618.04,No
6349-IGRXI,Male,0,No,No,57,No,No phone service,DSL,Yes,No,Yes,No,No,Yes,One year,No,Credit card (automatic),66.21,3733.87,No
5598-QOIGJ,Female,1,Yes,No,69,No,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Mailed check,91.44,6493.44,No
1712-HOWAB,Male,0,No,No,3,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),96.84,303.77,Yes
6154-KNRUU,Female,0,No,No,17,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),106.73,1766.32,No
5841-XRANF,Male,0,No,Yes,2,No,No phone service,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,70.05,133.87,Yes
9075-ZEPAI,Male,0,No,No,65,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),63.05,4164.33,No
2428-NGBIP,Male,0,Yes,No,67,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,86.24,5531.48,No
6209-DSPZL,Male,0,No,No,30,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,One year,No,Electronic check,78.37,2281.88,No
2542-QCKFF,Female,0,No,No,1,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,108.14,107.39,Yes
3550-BDRTU,Male,0,Yes,Yes,3,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,88.59,267.37,Yes
3922-WQDOA,Female,1,No,No,45,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,One year,No,Credit card (automatic),72.23,3239.93,No
8483-EDMRL,Female,0,No,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,23.91,1778.49,No
3168-NKDJB,Female,0,No,No,65,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),98.28,6315.7,No
9704-AMNPG,Male,0,No,No,61,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,88.4,5401.17,No
2352-VCWTE,Male,0,Yes,No,23,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,89.16,2050.87,Yes
8461-UZXTL,Female,0,Yes,No,72,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),108.05,7548.31,No
5925-KESUX,Female,0,Yes,No,64,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Electronic check,83.0,5245.03,No
9095-JQAGM,Female,1,Yes,Yes,17,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,One year,No,Mailed check,84.17,1491.31,Yes
4960-DSZQM,Male,0,Yes,No,57,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),32.61,1853.5,No
5271-NNACZ,Female,0,No,Yes,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),85.95,2066.24,No
4748-VZDLB,Female,1,No,No,49,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),83.46,4129.71,Yes
6021-UCKKQ,Male,0,Yes,Yes,72,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,80.94,5808.65,No
8490-WNXBN,Female,0,No,No,10,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,85.97,866.35,Yes
9553-PCHVV,Male,0,Yes,Yes,61,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Mailed check,78.17,4980.81,No
5943-CMCRK,Male,1,No,No,42,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,80.54,3401.59,Yes
4335-ZOIQW,Female,0,No,No,71,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),87.73,6413.7,No
9309-PJIOV,Male,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,81.74,245.8,Yes
5578-OYWFK,Female,0,Yes,Yes,54,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),67.31,3638.26,No
9548-HJQFI,Male,0,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),91.87,94.55,Yes
6902-GKQWR,Male,0,No,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),28.03,276.24,No
3451-APNGF,Male,0,No,No,15,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),76.46,1146.09,No
6343-JBKYJ,Female,1,No,No,25,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),82.98,2114.98,No
5088-MHPRA,Male,0,Yes,Yes,72,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),101.36,7611.42,No
6609-PYCSM,Male,0,Yes,Yes,2,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.07,153.88,Yes
5918-LSTOE,Female,1,Yes,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),28.18,141.85,Yes
7035-SPKHC,Male,0,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),88.08,598.99,Yes
7636-CLCJQ,Male,0,No,No,24,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Electronic check,88.11,2069.4,Yes
1830-TQOKY,Male,0,Yes,No,2,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,68.88,135.12,Yes
9697-YFRPB,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Two year,Yes,Electronic check,83.92,6177.56,No
4155-BGFQY,Male,0,No,No,38,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,101.55,3941.14,No
9149-NKGRU,Male,0,No,No,63,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),103.8,6375.48,No
6680-POWCT,Male,0,Yes,Yes,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,21.86,1229.23,No
4008-RAZZM,Female,0,Yes,Yes,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,27.25,1280.0,No
4535-EWUGM,Male,0,No,No,70,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,23.01,1636.63,No
8322-UKEPG,Female,0,Yes,No,70,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Electronic check,86.41,6134.07,No
6056-AUPGW,Female,0,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,No,Electronic check,89.94,279.46,No
6092-JZZTE,Male,0,Yes,Yes,70,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),76.11,5080.7,No
4679-ALDQG,Female,0,No,No,35,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,92.68,3102.4,No
3621-RNEIM,Male,0,No,No,11,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,66.11,752.15,No
7768-MRXVJ,Male,0,Yes,Yes,43,No,No phone service,DSL,No,No,No,Yes,No,No,One year,Yes,Electronic check,52.04,2296.34,No
6804-LPFIQ,Male,0,No,No,12,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),97.13,1219.93,Yes
4495-YWVZF,Female,0,No,Yes,30,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,37.14,1097.28,Yes
1209-XFGAF,Male,0,Yes,Yes,63,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,32.23,2099.58,No
3753-FEQBR,Male,0,Yes,Yes,1,No,No phone service,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,73.41,72.15,No
6982-ZITQI,Male,0,No,No,6,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,96.42,593.96,Yes
3861-KXNLP,Female,0,No,No,71,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,84.0,6060.01,No
1390-OHNAM,Male,1,Yes,Yes,26,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Credit card (automatic),77.96,2048.93,No
3676-EYFCP,Male,0,Yes,Yes,14,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,One year,Yes,Electronic check,87.0,1193.35,No
8050-GALDY,Male,0,No,No,70,Yes,No,DSL,No,No,Yes,Yes,No,No,Two year,No,Electronic check,58.32,3968.6,No
2308-KCTJJ,Female,0,Yes,Yes,70,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Two year,No,Credit card (automatic),81.06,5739.46,No
1110-QHZBZ,Male,0,No,No,1,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),88.03,86.34,Yes
8230-DTPXJ,Male,0,No,No,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,24.59,480.58,Yes
6203-ACHWL,Female,0,No,No,70,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Mailed check,79.55,5790.31,No
3795-RRIEU,Male,0,No,No,6,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),86.27,513.85,Yes
5315-BXYEG,Female,0,No,No,40,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),92.34,3731.1,No
9294-GHJSS,Female,0,No,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,27.83,406.05,No
4768-POPYD,Female,1,Yes,Yes,56,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,31.76,1801.78,No
9864-ALUBD,Male,0,No,No,4,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),79.3,311.77,Yes
8345-LYEUM,Male,0,No,No,42,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,Two year,No,Mailed check,81.97,3442.52,No
9119-YTLPJ,Male,0,No,No,0,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),74.35, ,Yes
2822-PBQZB,Female,1,No,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),23.85,245.51,No
9316-WGWBU,Female,0,No,No,5,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),90.92,455.35,Yes
7254-ZZHVM,Male,0,Yes,No,8,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,92.8,727.37,No
3516-DLHWW,Female,0,No,No,67,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,Yes,Electronic check,101.47,6899.75,No
7515-QPKSA,Female,0,Yes,Yes,70,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),22.29,1591.16,No
6348-DCSTY,Male,1,No,No,57,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),60.97,3579.26,No
4157-CHSIS,Male,0,Yes,No,41,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Credit card (automatic),98.74,4118.09,No
2025-VGDQF,Male,1,Yes,Yes,9,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),90.16,850.97,Yes
7216-NERXY,Male,0,No,No,12,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,One year,No,Bank transfer (automatic),88.72,1013.05,Yes
5162-PLDAD,Female,0,No,No,15,No,No phone service,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Mailed check,80.96,1232.02,Yes
2552-IMYME,Female,0,No,No,59,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),66.51,3763.29,No
3761-IYHZJ,Male,1,Yes,Yes,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),37.02,384.29,No
4123-EUCBH,Male,0,No,Yes,72,Yes,No,DSL,No,Yes,Yes,Yes,No,No,One year,No,Mailed check,63.52,4374.76,No
7127-HIDUU,Male,0,No,No,61,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Two year,No,Credit card (automatic),71.49,4578.59,No
1355-QQUWE,Female,0,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),71.57,5304.25,No
3306-WIKUX,Female,0,No,No,28,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,32.23,946.83,No
3171-DIMMO,Female,0,No,No,41,Yes,No,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,72.11,3059.18,Yes
9734-ZEYTB,Female,0,Yes,Yes,12,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),88.16,1030.24,No
2087-NQYMM,Male,0,No,No,43,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Mailed check,68.47,2851.46,No
5802-LYLFJ,Male,0,No,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,24.65,1727.68,No
3857-UDYYA,Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),102.54,99.84,Yes
7628-MYCEP,Male,0,Yes,Yes,13,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,108.37,1411.25,Yes
